Time for insertions

1000 entries: 0.008682


5000 entries: 0.044918


10000 entries: 0.089383


15000 entries: 0.141691


20000 entries: 0.190839

Search stored entries

0 entries: 1e-06


200 entries: 0.00049


500 entries: 0.0015


1000 entries: 0.00376


1500 entries: 0.00607


2000 entries: 0.00572


2500 entries: 0.00701


3000 entries: 0.008599


4000 entries: 0.011838


5000 entries: 0.01539


7500 entries: 0.025708


10000 entries: 0.037449

search NOT stored entries

100 entries: 0.000285


200 entries: 0.000693


500 entries: 0.001197


1000 entries: 0.003355


1500 entries: 0.005661


2000 entries: 0.006579


2500 entries: 0.007784


3000 entries: 0.010433


4000 entries: 0.012978


5000 entries: 0.023945


7500 entries: 0.04299


10000 entries: 0.04729

