Time for insertions

1000 entries: 0.009817


5000 entries: 0.04294


10000 entries: 0.085433


15000 entries: 0.121991


20000 entries: 0.161337

Search stored entries

0 entries: 1e-06


200 entries: 0.000227


500 entries: 0.000555


1000 entries: 0.001114


1500 entries: 0.001652


2000 entries: 0.002198


2500 entries: 0.002745


3000 entries: 0.003314


4000 entries: 0.004482


5000 entries: 0.005569


7500 entries: 0.00838


10000 entries: 0.011436

search NOT stored entries

100 entries: 0.001431


200 entries: 0.005543


500 entries: 0.037765


1000 entries: 0.141032


1500 entries: 0.315679


2000 entries: 0.572488


2500 entries: 0.920273


3000 entries: 1.31005


4000 entries: 2.25928


5000 entries: 3.64928


7500 entries: 8.0524


10000 entries: 14.4733

